area,bedrooms,bathrooms,stories,parking,age,price
1412,1,3,2,1,4,7726246
1339,6,5,1,3,1,8756744
1267,2,2,1,1,22,6032953
4964,4,2,4,2,25,23899527
553,2,4,3,2,4,4064272
3257,1,1,4,0,11,15595162
3317,5,3,1,3,17,16257389
3600,1,5,3,2,18,16951629
1069,1,2,3,0,27,4354598
1327,4,3,4,2,5,8209662
3410,2,3,1,1,17,16209544
2505,2,4,4,2,29,12193588
2299,6,3,1,1,26,11229159
3084,4,3,1,1,29,14966712
3077,2,4,4,3,4,15724246
1643,2,5,3,3,28,8455378
3771,3,2,2,3,2,19061995
885,1,2,2,3,19,3899113
3652,4,5,4,2,17,18986592
594,6,1,3,2,3,4980757
4061,2,4,1,2,16,19523475
1963,5,1,3,1,4,10775577
1823,5,5,1,2,15,9823922
1416,3,3,2,0,7,8242659
1145,1,4,1,1,4,6494298
4393,5,2,3,3,30,20640586
4917,6,2,3,3,21,24207946
3559,4,5,4,0,7,18201112
1024,3,1,2,1,0,5682441
982,2,1,1,2,2,5508131
2449,3,4,2,1,23,12451457
4372,2,4,4,1,3,21225639
4031,3,4,4,3,27,19653991
943,6,1,1,3,23,5399284
1395,2,2,2,3,4,7619874
2003,3,4,2,0,14,10660772
1302,1,5,1,0,29,6149170
2436,2,4,4,3,6,13368651
3785,1,2,4,0,12,17510585
4227,3,4,4,1,6,20932620
2283,1,5,1,2,1,11426078
4405,5,5,2,0,30,21154996
1156,2,1,1,1,12,5277710
2516,5,5,1,0,13,13511305
4782,3,3,2,2,7,22947517
3742,2,3,4,2,29,17677387
1094,1,4,1,0,17,5046508
4644,3,2,3,0,28,21004150
3527,3,2,4,2,19,17367805
4833,1,5,3,0,30,22419282
1600,3,1,1,1,8,7945442
2225,6,3,2,2,16,12124762
2557,1,1,4,2,1,12260217
3232,2,3,2,3,17,15733945
4003,5,1,1,0,30,18789504
1721,5,1,3,1,13,8978136
842,3,3,1,2,6,5554198
2544,6,1,3,3,19,13533884
1766,2,2,2,3,0,9235073
3221,4,2,3,1,25,15629843
1385,4,1,4,1,6,8388753
4270,3,3,2,1,0,21307094
2082,4,3,3,0,30,10429891
2786,3,5,4,2,30,13265941
1444,3,2,3,0,3,8223550
4059,3,3,4,0,12,20208699
2057,3,1,4,0,16,10627035
4910,6,2,3,3,2,25439967
3204,5,3,1,2,16,15892308
3845,3,4,3,1,6,19193369
3605,6,2,3,3,17,18696724
503,3,3,2,3,25,3221658
3139,4,4,4,1,16,16021671
1890,6,1,3,2,2,11413179
2424,6,3,2,1,4,13033611
878,2,4,1,3,13,5580181
2092,6,4,4,3,7,12218739
545,1,4,2,1,25,2932216
4743,4,1,2,0,14,21983316
4306,6,5,3,3,19,22331596
4635,4,5,4,1,23,23010842
4388,4,3,2,2,24,21161451
4770,4,2,3,3,2,23963206
2840,2,3,3,2,28,13296390
1160,2,2,2,3,22,5380227
2252,1,4,4,2,17,11172557
3906,1,2,4,3,28,18084189
660,5,4,4,0,30,4238845
2946,4,4,2,3,7,15293193
4070,4,1,4,2,21,19677131
3812,6,2,4,1,19,19164069
720,4,5,1,0,20,4539433
1611,4,2,1,2,12,8442754
2233,4,3,3,3,8,12487039
3953,3,1,4,0,23,18404121
926,3,2,1,0,24,3949537
2525,2,1,2,1,4,12359064
1437,5,2,4,2,24,7853314
1874,5,5,1,1,30,9509147
1385,5,1,3,3,12,8569703
2124,1,5,2,0,22,10368004
2970,6,5,1,0,11,15823623
4009,6,3,1,2,0,21181344
3941,4,1,4,2,20,19369384
4266,6,2,4,1,23,20994091
2712,5,5,4,3,13,15319845
2698,3,2,1,2,28,12363700
2497,4,5,4,2,0,14254817
3162,2,4,2,2,25,14649902
3288,3,5,3,0,16,16840115
2065,1,2,4,3,17,10337493
2468,6,4,4,3,25,12874080
1262,3,2,4,1,9,7425212
3523,4,5,3,3,23,17730624
3209,3,4,3,2,8,16132236
1488,6,2,3,0,23,8257894
2016,2,2,4,2,23,9840226
4797,5,3,1,1,9,23225033
3456,2,3,1,1,8,16149726
946,5,3,2,3,3,7222112
600,5,3,4,3,14,4857256
2010,1,3,4,0,26,8813517
3782,4,1,1,1,4,18819544
2989,1,2,1,3,19,13775584
2348,5,4,4,3,9,13717950
4012,3,5,1,0,30,18903787
2202,6,2,3,0,5,12060516
1923,5,1,2,0,13,9975887
4349,3,1,2,2,22,19866951
4219,1,2,3,1,13,19205851
4961,2,2,3,1,2,23337035
1859,3,5,3,3,3,10856965
2991,6,4,3,3,14,15693849
826,4,3,3,0,2,5607044
669,6,3,1,1,15,4954673
4122,3,2,4,3,2,20641841
3350,4,3,3,0,27,15643637
3201,4,4,3,3,26,16151941
800,4,1,3,2,10,4771552
3811,5,1,4,3,1,19396194
4747,3,5,4,3,24,22515618
2167,3,5,2,2,14,11875134
4470,1,1,2,1,9,20642596
612,5,4,1,1,26,4461276
1429,4,1,2,3,29,7231913
2890,5,3,4,3,15,15010570
4241,5,2,4,1,29,20362992
4663,6,2,1,2,24,22661881
3899,3,5,3,0,9,19706819
2945,5,5,4,1,14,15817242
4467,3,3,4,3,29,20888908
2045,6,2,4,1,27,11065717
3865,1,3,4,3,12,18788428
1746,4,1,2,2,27,8012239
4106,1,5,4,0,23,18878157
3858,6,2,1,3,25,18538896
3273,5,4,1,2,27,16235615
4871,4,3,4,0,19,22941244
